Beer,Username,Location,Rating,Review,Date
Kentucky Brunch Brand Stout,,Hawaii,5/5,"Amazing stout, expensive but worth the price!","Aug 06, 2023"
Kentucky Brunch Brand Stout,,Michigan,5/5,This beer meet and exceeded all the unreal hype. It is simply amazing!,"Jul 08, 2023"
Kentucky Brunch Brand Stout,,Arkansas,5/5,Let it sit and warm to the room a little ... unbelievable.,"May 17, 2023"
Kentucky Brunch Brand Stout,,Colorado,4.67/5,"A small pour, ebony dark, no real head. Intense, rich aroma, brownies and German chocolate cake; dark sweetness. The taste amplifies the smell with the addition of sublime Kentucky bourbon. Heavy body; dense, chewy residual sugar feel with a sublime whiskey heat.

This beauty was generously provided by @azuelke (Adam) at a bottle share hosted by @GreenBayBA in Sheboygan, WI. There were many great beers sample, many beautiful and exquisite dark beers, but nothing quite like this legendary beer. If ever you have a chance to try this one, all I can say is don't pass it up. The beer lives up to its legendary status.

Pouring temperature: n/a; bottling info: unknown year, bottle number #138
Source: @azuelke (Adam), Sheboygan, WI bottle share","May 12, 2023"
Kentucky Brunch Brand Stout,,Iowa,5/5,"Vintage 2022, served on tap at Toppling Goliath in a ""snulip"" glass. Opaque deep blackish brown in color, with garnet highlights and a wisp of tan head. Where to start? Notes of cocoa, molasses, licorice, cherry cola, and maple syrup. The bourbon/barrel was, surprisingly, quite understated. Full body, almost syrupy, with good carbonation and a chewy mouthfeel. This finishes cleanly, with hints of roasted malt, maple syrup, and molasses lingering on the finish. This was incredibly easy drinking and not at all boozy despite the high ABV, and it was so good that I wanted to lick the glass clean. World class all the way.","Dec 04, 2022"
Kentucky Brunch Brand Stout,,Illinois,5/5,"I didnt think i was going to give it a perfect score but..... Its looks, smells, tastes, a 5, HOWEVER, the mouth feel is NOT BY ANY MEANS EQUAL TO LOOK SMELL AND TASTE. Pardon me i have to sit down. Mouth feel is, well 11. Yeh, like twice as good as anything ive ever had before. It grabs you by the face with both hands and says, 'what was that that just went down my throat'. It tasted familiar-- like real, pure butter on real Belgium-chocolate, buttermilk pancakes with fresh highbush blueberries, real Vermont maple syrup and Madagascar vanilla, served with Seattle coffee, and a shot of pappy.","May 10, 2022"
Kentucky Brunch Brand Stout,,Pennsylvania,3.79/5,"So I just read a review that called the legendary KBBS, “typical…white trash.” It kinda made me nervous because I don’t dig white/pale stouts and I thought, “how could I miss that this being a white stout?!”
Well happily that guy is drinking something else. Or maybe he meant that KBBS is like Mountain Dew; enjoyed by European-Americans whom the reviewer is afraid of. Bah, who cares?
So KBBS. Looks great poured into a wine stem. Really dark lovely stuff. There’s foam for those of you who judge beer based on foam. Yep, it’s present. Looks like foam too. 
The wine glass is supposed to enable the drinker to easily acquire aromas. This one is heavy on the adjuncts and, as a result, heavy on aromas that should be present but not so overwhelming. I am a lover of all things maple syrup so I enjoy it. Underneath the maple I get pretty standard, decent stout aromas of coffee, cocoa and roasted grain. Maybe mulberries? Yeah mulberries have an aroma and it’s subtle but rather pleasant. The additions aren’t artificial on the nose but just too much. Kinda like someone skipped the basics and went right to breaking the rules. I could go on at length about the fallacy of that approach but you don’t care. 
After tasting many beers and learning how to pay attention to the different aspects of beer tasting, I have found that reviewing the “front,” “back” and finish is not NECESSARILY pretentious, it’s simply that many reviewers are. This one is actually kinda consistent. The nose is pretty reliable in telegraphing the initial flavor. The maple maple maple. Yeah it’s real maple syrup and there’s a lot of it. There’s definitely cocoa and quite possibly vanilla adjuncts present. I am not going to trash this beer because of the adjuncts - I knew that going in. But they’re aggressive. Dark fruit on the finish, for which I am grateful. 
Given the abv and particular adjuncts, I expected a boozy, heavy feel with little carbonation and that is exactly it. Again, pleasant. 
Of course some will reflexively say that the highest rated beers are overrated. In this case I agree but that’s a reactionary approach. This is a very enjoyable beer. Of late I have become increasingly skeptical of adjunct stouts because I truly think that they are too quickly used when experience and talent can produce a world of flavors without just capriciously tossing stuff in a barrel. In sum, the score is ridiculously high. But it’s too good to score it a protest one…","Mar 11, 2022"
Kentucky Brunch Brand Stout,,Massachusetts,4.65/5,"2021 vintage, bottle #79

Holy. Fucking. Shit. KBBS. Beer review #1000. We're finally here. Legendary. I absolutely splurged on this one, but why not? Morbid curiosity got the better of me. I can't think of a better beer to review for this milestone than the highest rated beer in the whole damn world. I do love maple as an adjunct, so I'm (cautiously) optimistic for this one. I guess there's nothing to do now other than popping this open huh?

Pours completely pitch black with no head into the signature branded stemless teku, just a thin tan ring that leaves no lacing

The nose on this beer is an all out maple bomb, but there's a nice subtlety to it as well. I'm picking up on aromas of real maple syrup, light roast coffee, sticky caramel, pecan pie, milk chocolate, toasted oak, and light earthy bourbon

Man, I didn't want to like the taste of this as much as I do. It's not the most complex thing I've ever had but it is so goddamn good for what it is. On the front end of the sip I'm tasting sticky maple syrup, caramel candy, milk chocolate, fruity coffee, light oak, toffee, and raisin. The swallow brings notes of fruity coffee, sticky maple, spicy bourbon, milk chocolate, espresso, vanilla ice cream, pecan pie, and toasted oak. Sublime

A medium full body pairs with gentle tingling carbonation, resulting in a velvety beer. Finishes surprisingly dry and boozy with a wonderful sweetness

I won't even play around, this is fucking amazing. Not top beer in the world amazing, but it definitely cracks my top 10. This is truly a once in a lifetime beer experience. I will likely never get another bottle again unless I make the trek out to Iowa with @Pru (who I allowed a few sips of this for his review) but I will cherish every sip of this one. More than the sum of its parts. Cheers BA!","Feb 26, 2022"
Kentucky Brunch Brand Stout,,Massachusetts,4.27/5,"Celebrating my buddy @Rug with his 1,000th beer review. Pours an almost perfect black with no head. Smells lightly of maple syrup and chocolate. With the first sip I immediately tasted chocolate and caramel followed by a maple syrup finish. The syrup flavor lingers. The feel department is where this stout lacks. Feels very light, which is good for me as someone not too fond of stouts and lagers but to the avid fan of a heavier beer, this one may disappoint. Overall great beer and I’m glad I got to crack it open with my bud.","Feb 26, 2022"
Kentucky Brunch Brand Stout,,New York,4.79/5,"Thick and syrupy pour, mocha head. Aroma is boozy maple, bittersweet chocolate.
Lived up to my expectations and very happy to try.
Mouthfeel was heavy, syrupy, smooth with light carbonation.
Nice barrel presence and all the flavors blend together neatly.","Feb 25, 2022"
