Word,Frequency
beer,4075
head,3133
taste,2646
chocolate,2418
dark,2151
sweet,2039
like,1967
notes,1860
one,1815
vanilla,1798
coffee,1757
nose,1752
nice,1689
bourbon,1685
light,1657
good,1626
finish,1555
pours,1549
well,1518
aroma,1496
carbonation,1467
fruit,1437
body,1425
bottle,1424
orange,1423
white,1405
overall,1398
bit,1378
barrel,1375
mouthfeel,1359
black,1335
medium,1326
flavor,1321
really,1289
lacing,1289
oak,1251
thick,1197
little,1178
great,1175
citrus,1170
smooth,1161
glass,1144
feel,1050
brown,1040
smell,1032
flavors,1010
malt,1004
creamy,996
stout,988
color,967
poured,920
sweetness,891
much,883
bitterness,879
caramel,862
full,845
hazy,839
dry,831
rich,782
big,741
funk,732
quite,726
still,722
hop,718
maple,716
tropical,693
get,692
grapefruit,677
tart,676
bitter,676
hops,674
balanced,672
coconut,665
best,665
mango,659
sour,649
alcohol,646
pineapple,641
slightly,641
palate,635
would,621
peach,608
abv,601
almost,591
wine,586
pour,584
soft,581
thin,581
time,579
strong,579
cinnamon,569
slight,561
lemon,558
touch,558
hint,555
juicy,549
roasted,542
balance,539
bodied,538
also,537
even,534
way,532
beers,520
complex,520
moderate,518
end,515
pretty,508
first,507
excellent,506
retention,506
finger,501
ipa,489
fresh,487
smells,478
aromas,477
malts,477
back,474
super,472
sugar,464
boozy,462
molasses,459
lots,457
definitely,456
better,454
quickly,450
juice,448
style,446
drink,445
deep,441
perfect,438
fruity,438
appearance,436
earthy,434
vintage,433
yellow,431
pine,430
tan,429
front,426
mild,422
character,415
bright,413
look,413
dank,413
heavy,399
fruits,396
mouth,394
try,394
think,393
amazing,392
follows,391
golden,391
lot,389
green,388
toffee,382
sticky,380
delicious,379
cherry,376
ever,373
top,371
around,369
syrup,362
roast,360
foam,359
small,358
sip,358
fantastic,357
heat,357
cocoa,354
aged,353
side,352
high,352
long,351
could,348
opaque,345
hints,343
milk,342
apricot,341
profile,338
amount,337
subtle,335
brew,330
finishes,329
booze,328
though,327
right,326
red,326
huge,325
floral,325
old,323
tastes,320
solid,317
base,315
snifter,315
acidity,315
love,304
note,304
f,302
stouts,298
l,298
minimal,297
leaves,294
toasted,294
blend,294
lingering,293
yet,293
house,287
low,286
another,286
ba,286
maybe,286
along,286
canned,285
tangerine,283
expected,283
two,282
years,281
ring,279
apple,278
comes,277
got,277
spice,276
tree,276
sure,269
pale,269
warms,265
funky,265
drinking,265
easy,264
beautiful,260
version,259
clear,259
without,258
fudge,257
complexity,257
less,256
fairly,254
oz,253
ale,252
tulip,251
pepper,250
presence,250
tartness,249
clean,248
enough,247
brewery,244
hoppy,243
favorite,243
forward,243
tasty,242
drinkable,242
roasty,239
melon,239
incredible,239
honey,239
fluffy,238
see,238
cap,238
wonderful,238
worth,237
tap,233
raspberry,230
say,229
world,228
tasting,227
spicy,227
absolutely,226
aftertaste,226
going,225
thanks,225
crisp,224
stone,224
something,223
herbal,223
cream,222
2,221
batch,220
warming,220
lightly,218
grape,218
tongue,217
half,217
enjoyable,217
looks,216
oily,216
present,216
makes,216
wood,215
mocha,214
nicely,212
come,212
day,211
drank,211
many,210
review,210
fades,208
carb,207
dense,206
imperial,205
bite,205
thing,204
brings,203
pleasant,203
acidic,203
ripe,203
wow,202
cloudy,202
faint,202
gold,201
burn,199
tobacco,199
served,199
never,199
hype,198
char,198
followed,197
intense,196
leather,193
burnt,192
done,189
tons,188
away,187
zest,186
colored,185
malty,185
experience,185
foamy,185
yeast,184
probably,184
every,184
lace,183
sharp,183
leaving,182
nothing,182
overly,182
decent,182
date,182
make,182
looking,180
enjoyed,180
2018,179
bubbles,179
barrels,178
level,178
hay,178
whiskey,176
2019,176
viscous,176
similar,176
want,175
new,175
licorice,174
find,174
hot,174
silky,173
finally,173
bottled,172
fine,172
dissipates,172
know,171
might,171
perfectly,171
grassy,170
outstanding,169
raisin,169
plenty,168
chewy,168
everything,167
getting,167
seems,167
far,167
together,167
5,166
piney,166
glad,165
real,165
3,164
hard,163
last,163
stuff,163
actually,162
4,162
grass,161
fingers,161
slowly,160
wild,159
class,159
bomb,158
somewhat,158
mostly,158
oil,157
2020,157
papaya,157
2022,156
mix,156
frothy,155
lingers,154
middle,153
extremely,153
average,153
pitch,152
awesome,152
peel,152
rather,152
bread,151
surprisingly,151
goes,151
espresso,150
12,150
cherries,150
tried,149
swallow,149
double,149
hill,149
peaches,149
refreshing,149
plum,148
2021,148
warm,148
amber,147
let,147
truly,147
rind,146
bold,146
sourness,146
may,146
throughout,146
texture,145
nearly,145
different,145
point,145
lime,144
barnyard,144
saison,143
16,143
dried,143
incredibly,143
ipas,142
quality,142
enjoy,142
liquid,142
made,141
behind,141
take,140
year,140
classic,139
raisins,139
wet,138
highly,138
oaky,138
lighter,138
noticeable,138
lambic,137
perhaps,137
jet,136
bready,136
slick,136
always,136
gentle,136
kind,135
woody,135
syrupy,135
750ml,135
certainly,133
go,133
ca,133
neipa,133
damn,132
trillium,132
straw,131
pint,131
gets,131
release,130
collar,130
coming,130
resin,129
tasted,128
depth,128
grain,128
warmth,128
vinegar,128
things,128
guava,128
murky,128
adds,128
regular,127
16oz,127
rum,127
left,127
charred,127
consumed,126
resinous,126
citra,125
grapes,124
candy,124
share,123
fizzy,123
unique,123
1,122
haze,122
musty,122
decadent,122
dated,121
however,121
expect,121
near,119
background,119
loads,119
cloying,119
carbonated,119
citrusy,118
velvety,117
especially,117
short,116
2016,116
bad,115
feels,115
farmstead,114
dryness,114
ago,114
delicate,114
sweeter,114
hits,114
flavorful,113
inch,113
moderately,112
lovely,111
given,111
aging,111
thought,110
anything,110
age,110
draft,110
peppery,110
drinks,109
cake,109
ruby,108
chili,108
brandy,106
across,106
raspberries,106
marshmallow,106
candied,106
flavour,106
2017,106
mildly,105
wish,105
pith,105
ml,105
motor,105
edge,105
dipa,105
easily,104
found,104
rye,104
massive,104
start,104
although,103
vinous,103
brewing,103
barleywine,103
close,102
settles,102
said,102
wheat,102
effervescence,102
interesting,102
rating,101
prefer,101
gives,101
original,100
10,100
must,100
impressive,99
bubbly,99
days,99
peanut,99
initial,98
brett,98
starts,98
cellar,98
sipper,98
least,98
next,97
bean,97
smoke,97
pink,97
julius,96
coast,96
dessert,96
fig,96
give,96
price,96
hidden,96
project,95
nutty,95
edges,95
second,95
overpowering,95
12oz,95
pear,95
passionfruit,95
shared,94
completely,94
else,94
ton,94
hit,94
overwhelming,94
porter,93
th,93
treat,93
months,93
west,93
open,92
large,92
typical,91
prominent,91
passion,91
butter,90
mellow,90
hue,90
toasty,90
oh,90
opens,90
drying,90
aggressive,89
lactose,89
legs,89
rated,89
hazelnut,89
lasting,89
special,89
coating,88
part,88
backbone,88
figs,88
berry,87
cacao,86
upfront,86
apricots,85
layer,85
fridge,85
layers,85
others,85
khaki,84
since,84
happy,83
cold,83
skin,83
round,83
mixed,83
cheers,83
three,82
peppers,82
add,82
fan,82
bottom,82
came,82
straight,82
